지역,대학명,전형명,학과명,2026등급컷I,2026등급컷II,2026등급컷III,2025등급컷,2025등급컷2,25년합격cutI기준,25년합격CUTII기준,,26년합격cut I기준,26년합격cut II 기준,26년합격cut III기준,,
인천,가천대학교,교과농어촌,방사선학과,-,-,1.89,2.24,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,"법과대학(법학과,경찰행정학과,행정학과)",2.38,2.44,3.36,2.8,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,사회복지학과,-,-,3.2,1.5,,,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,생명과학과,-,-,2.73,3.16,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,스마트보안학과,,,,2.76,,,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,스마트시티학과,-,-,4.15,1.75,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,시스템반도체학과,,,,3.38,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,식품생명공학과,-,-,1.59,2.11,,,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,식품영양학과,-,-,1.76,2.67,,,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,신소재공학과,-,-,2.72,3.66,,,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,심리학과,-,-,2.58,2.61,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,약학과,-,-,1.2,1.28,,,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,운동재활학과,-,-,3.19,2,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,교과농어촌,응용통계학과,-,-,-,3,,최종등록자90%컷,,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
